,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
678,,Specific conductance,Specific conductance,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/specificConductance/,specificConductance,973,Current
679,,Speed of sound in the medium sampled,Speed of sound,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/speedOfSound/,speedOfSound,974,Current
680,,Squalene (C30H50),Squalene,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/squalene/,squalene,975,Current
681,,The volume of water flowing past a fixed point.  Equivalent to discharge,Streamflow,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/streamflow/,streamflow,976,Current
682,,Fecal Streptococci,"Streptococci, fecal",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/streptococciFecal/,streptococciFecal,977,Current
683,,Dissolved Strontium (Sr),"Strontium, dissolved",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/strontiumDissolved/,strontiumDissolved,978,Current
684,,Total Strontium (Sr),"Strontium, total",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/strontiumTotal/,strontiumTotal,979,Current
685,,Styrene (C8H8),Styrene,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/styrene/,styrene,980,Current
686,,Areal coverage of the plant Suaeda linearis,Suaeda linearis coverage,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/suaedaLinearisCoverage/,suaedaLinearisCoverage,981,Current
687,,Areal coverage of the plant Suaeda maritima,Suaeda maritima coverage,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/suaedaMaritimaCoverage/,suaedaMaritimaCoverage,982,Current
688,,Dissolved Sulfate (SO4),"Sulfate, dissolved",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/sulfateDissolved/,sulfateDissolved,983,Current
689,,Total Sulfate (SO4),"Sulfate, total",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/sulfateTotal/,sulfateTotal,984,Current
690,,Dissolved Sulfide,"Sulfide, dissolved",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/sulfideDissolved/,sulfideDissolved,985,Current
691,,Total sulfide,"Sulfide, total",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/sulfideTotal/,sulfideTotal,986,Current
692,,Sulfur (S),Sulfur,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/sulfur/,sulfur,987,Current
693,,Sulfur dioxide (SO2),Sulfur dioxide,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/sulfurDioxide/,sulfurDioxide,988,Current
694,,Dissolved Sulfur (S),"Sulfur, dissolved",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/sulfurDissolved/,sulfurDissolved,989,Current
695,,Organic Sulfur,"Sulfur, organic",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/sulfurOrganic/,sulfurOrganic,990,Current
696,,Pyritic Sulfur,"Sulfur, pyritic",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/sulfurPyritic/,sulfurPyritic,991,Current
697,,Sunshine duration,Sunshine duration,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/sunshineDuration/,sunshineDuration,992,Current
698,,Superoxide dismutase (SOD) activity,"Superoxide dismutase, activity",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/superoxideDismutaseActivity/,superoxideDismutaseActivity,993,Current
699,,"Delta cycle threshold for superoxide dismutase (sod). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for sod is the difference between the cycle threshold (Ct) of sod gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin).","Superoxide dismutase, delta cycle threshold",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/superoxideDismutaseDeltaCycleThreshold/,superoxideDismutaseDeltaCycleThreshold,994,Current
